date,Apple,Apricot,Asparagus,Avocado,Banana,Beans,Broccoli,Cabbage,Carrots,Cauliflower,Celery,Corn,Cranberries,Cucumber,Dates,Eggplant,Garlic,Grapefruit,Grapes,Greens,Guava,Kale,Lettuce,Mushrooms,Napa,Onion,Passion Fruit,Peaches,Peas,Peppers,Pineapple,Pomegranate,Potatoes,Pumpkin,Sprouts,Squash,Strawberries,Sweet Potato,Tomato,Watermelon
2011-11-01,4,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-01-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
2012-02-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-03-01,0,0,0,0,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-04-01,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,100,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-05-01,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-06-01,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,0
2012-07-01,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2012-08-01,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
2012-09-01,2,0,0,9,4,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2012-10-01,2,0,0,0,2,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,0,41,0,0,100,0,0,0
2012-11-01,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0
2012-12-01,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2013-01-01,3,0,0,0,2,0,0,0,0,100,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-02-01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,10,0,0,0,0,0,0,0,0,0
2013-03-01,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
2013-04-01,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
2013-05-01,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,81,29,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0
2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07-01,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-01,0,0,0,0,5,7,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,22,0,0,0,0,0,0,0,0
2013-09-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,36,0,0,0,0
2013-10-01,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,11,0,0,0,0,0,0,0,0,2
2013-11-01,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,1,0,0,0,2,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2014-01-01,1,0,0,0,3,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,0,7,0,0,0,0,0,0,0,0,0
2014-02-01,1,0,25,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,30,0,0,0,6,0,2
2014-03-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0
2014-04-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,7,2
2014-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2014-06-01,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,0,0,0,0,0,0
2014-07-01,1,0,0,0,1,0,15,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,5,0,0,0,6,0,0,22,0,0,0,0,5,0
2014-08-01,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09-01,1,0,0,0,3,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,24,0,5,0,0,0,6,0,0,0,0,18,6,0,0,0,0,0,0,0
2014-10-01,1,0,0,4,3,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0,0,0,5,6,0,0,6,0,0,0,6,0,6,0,100,0,0,0,0,2
2014-11-01,1,0,0,0,2,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,5,0,6,0,0,0,0,27,0,0,0,0
2014-12-01,1,0,0,5,1,6,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2015-01-01,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,6,2
2015-02-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-01,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,0,0,0,0,2
2015-04-01,0,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-01,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-01,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-01,1,0,0,3,1,4,0,0,0,40,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,63,0,0,0,0,0
2015-08-01,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,4,0,3,0,0,0,0,14,62,0,0,0,0,1
2015-09-01,1,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,63,0,0,0,4,1
2015-10-01,0,0,0,3,2,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1
2015-11-01,3,0,0,0,1,0,10,36,0,0,0,0,51,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,64,0,0,0,0,1
2015-12-01,0,0,0,0,1,4,0,35,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,62,0,0,0,0,1
2016-01-01,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,60,0,0,0,0,1
2016-02-01,1,0,12,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,16,35,0,0,0
2016-03-01,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1
2016-04-01,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,20,57,0,0,0,0,0
2016-05-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
2016-06-01,1,46,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,32,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0
2016-07-01,1,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2016-08-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0
2016-09-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,100,2,0,36,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,14,61,0,0,0,0,1
2016-10-01,1,0,12,0,2,0,0,34,0,0,0,0,0,0,0,0,0,0,0,3,27,100,6,0,0,35,0,0,0,0,4,0,0,0,0,0,0,3,0,0
2016-11-01,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,14,0,3,0,0,0,0,0,0,0,4,0,5,0,0,0,0,3,3,1
2016-12-01,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,3,0,3,0,3,0,3,0,0,15,0,0,3,0
2017-01-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0
2017-02-01,1,0,0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,1
2017-03-01,1,0,9,2,1,3,0,0,0,31,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,2
2017-04-01,1,50,0,3,1,0,0,33,100,0,0,0,0,3,0,2,0,0,0,0,27,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0
2017-05-01,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
2017-06-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,14,0,16,0,0,3,0
2017-07-01,1,0,0,5,2,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1
2017-08-01,1,0,0,0,2,3,0,33,98,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,33,5,0,0,0,0,0,3,0,0,0,0,3,3,0
2017-09-01,1,0,0,3,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,15,0,18,38,0,0,0
2017-10-01,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,24,0,14,0,15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
2017-11-01,1,0,0,0,1,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,3,0,1
2017-12-01,1,0,10,0,1,5,0,0,0,0,0,28,0,0,0,0,0,31,0,0,0,0,3,0,0,0,0,100,0,0,3,9,0,0,0,0,0,3,0,1
2018-01-01,0,0,0,0,2,0,0,0,85,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,13,0,0,0,1
2018-02-01,1,0,0,3,2,3,10,0,0,0,0,0,47,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,4,0,0,0,0,0,0,3,0,1
2018-03-01,1,0,0,0,1,3,8,29,0,0,0,0,41,0,0,0,19,0,0,0,12,0,0,0,0,0,6,0,0,0,0,0,3,12,51,0,0,0,3,2
2018-04-01,0,0,0,2,1,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,3
2018-05-01,1,43,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,29,0,0,0,84,2,0,0,58,0,0,3,0,3,0,3,0,0,0,0,0,4,0
2018-06-01,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,3,0,3,0,6,0,0,0,0,0,0,0,0,0
2018-07-01,0,0,0,0,2,0,0,0,0,0,0,26,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-08-01,1,42,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,29,0,0,23,0,2,0,100,0,3,0,3,0,3,0,9,0,0,0,0,2,3,1
2018-09-01,1,0,0,2,1,0,0,30,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,3,0
2018-10-01,1,0,0,2,2,0,0,0,0,0,0,0,40,0,0,0,0,0,11,0,12,0,0,0,0,0,0,0,0,0,4,0,3,23,0,0,0,0,0,0
2018-11-01,1,91,0,0,1,6,9,31,91,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,0,0,6,0,3,0,6,0,0,0,53,0,0,3,3,1
2018-12-01,1,34,8,2,1,2,10,22,0,25,0,0,0,0,0,0,22,23,0,2,0,66,0,2,0,0,5,0,2,0,2,0,7,0,77,0,0,0,2,1
