date,Apple,Avocado,Banana,Beans,Corn,Cranberries,Dates,Endive,Garlic,Guava,Kale,Kumquat,Onion,Oranges,Passion Fruit,Peas,Peppers,Pineapple,Potatoes,Prunes,Pumpkin,Raisins,Rutabaga,Squash,Tomato
2005-01-01,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-08-01,0,0,0,0,0,0,0,0,0,0,0,62,0,0,100,0,0,0,0,0,0,0,0,0,0
2006-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
2008-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0
2008-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
2008-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
2009-02-01,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-03-01,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-05-01,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0
2009-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,98,0,0,0
2010-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
2010-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
2010-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0
2010-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,68,0,0,0,0,0,0
2010-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0
2011-01-01,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,0,0,0,13,0,0,0
2011-02-01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,13,0,0,0
2011-03-01,12,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0
2011-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2011-05-01,0,0,14,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2011-06-01,0,0,20,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,84
2011-07-01,12,0,10,0,0,100,0,0,0,0,0,0,0,14,13,0,0,0,12,0,0,0,0,0,0
2011-08-01,0,0,10,90,0,0,0,0,0,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0
2011-09-01,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011-10-01,11,0,9,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,100,11,0,0,0
2011-11-01,0,0,18,0,0,0,0,0,0,0,0,5,0,0,8,100,0,0,0,0,0,0,0,0,0
2011-12-01,0,0,10,88,0,0,0,0,0,0,100,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2012-01-01,21,0,9,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0
2012-02-01,10,0,9,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,10,0,0,11,0,0,0
2012-03-01,0,0,8,0,0,0,0,0,0,10,0,5,0,0,18,0,0,0,10,0,0,0,0,0,0
2012-04-01,0,0,11,0,100,0,0,0,0,0,0,0,0,0,9,0,100,0,0,0,0,0,0,0,0
2012-05-01,0,0,17,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0
2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,10,0,0,0
2012-07-01,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0
2012-08-01,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,10,0,0,0
2012-09-01,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,49,0,0,0,19,0,0,0
2012-10-01,0,0,7,0,0,67,0,0,100,0,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0
2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,100,0,0
2013-01-01,0,0,0,0,0,0,0,0,0,7,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0
2013-02-01,0,0,7,0,0,0,98,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0
2013-03-01,0,0,12,0,56,0,0,100,0,0,0,0,0,9,5,0,0,0,0,0,0,8,0,0,0
2013-04-01,8,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0
2013-05-01,0,64,6,0,0,60,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
2013-06-01,0,0,6,0,0,0,0,0,0,0,0,0,0,18,6,0,0,0,7,0,72,0,0,0,0
2013-07-01,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,0,0,39,0,0,0,8,0,76,0
2013-08-01,7,0,6,0,0,0,91,0,0,0,0,0,0,8,5,0,0,0,0,0,0,8,89,0,0
2013-09-01,7,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,8,0,0,0,0,0
2013-10-01,7,0,6,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,83,0,0
2013-11-01,7,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,67,0,0,0,0
2013-12-01,0,0,6,0,0,0,0,0,0,7,0,3,0,0,8,0,0,0,0,0,68,8,0,0,0
2014-01-01,7,0,6,0,0,56,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2014-02-01,0,0,6,0,0,0,0,0,0,0,0,0,76,8,11,0,0,0,7,0,0,8,0,0,0
2014-03-01,7,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7,0,0,0
2014-04-01,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7,0,0,0,91,0,0
2014-05-01,8,0,7,0,0,0,0,0,0,7,0,4,0,9,6,0,0,0,0,0,0,8,0,0,0
2014-06-01,0,0,7,64,0,0,0,0,0,0,0,4,0,0,12,0,0,0,8,0,0,9,0,0,0
2014-07-01,0,0,12,0,0,0,0,0,0,7,0,0,0,0,8,0,0,0,7,0,0,0,0,0,50
2014-08-01,7,0,6,0,0,0,0,0,0,0,60,3,0,0,10,0,0,0,0,0,0,0,0,0,0
2014-09-01,7,0,5,51,0,0,0,0,0,6,0,3,0,8,5,0,0,35,6,0,0,7,0,0,0
2014-10-01,6,0,5,46,0,0,0,0,0,0,0,0,0,0,15,0,0,31,0,0,55,6,0,0,0
2014-11-01,0,50,7,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,6,0,0,0,0,60,0
2014-12-01,6,0,8,0,0,0,0,82,0,6,54,0,0,7,10,0,0,0,0,0,0,0,0,0,0
2015-01-01,5,0,5,0,0,44,0,73,0,0,0,0,0,6,9,0,0,0,5,0,51,6,0,56,0
2015-02-01,6,0,10,0,0,0,0,0,72,0,0,3,0,0,14,0,0,0,6,0,0,0,0,0,0
2015-03-01,5,0,7,0,0,0,0,72,0,0,48,0,0,0,8,0,0,0,0,0,0,11,0,0,0
2015-04-01,0,0,12,44,0,0,0,0,0,0,0,3,0,6,7,0,0,0,0,0,0,6,0,0,0
2015-05-01,0,48,0,0,0,0,0,76,0,0,0,3,0,0,4,0,0,0,11,0,0,6,0,0,0
2015-06-01,6,0,5,0,0,0,0,79,0,0,52,0,0,0,8,0,0,0,0,0,0,0,71,0,0
2015-07-01,0,0,9,0,0,0,0,0,0,0,58,0,0,8,12,0,0,0,6,0,61,0,0,0,0
2015-08-01,0,0,8,0,0,52,0,0,0,6,0,6,0,7,12,0,0,34,12,0,0,0,0,0,0
2015-09-01,6,0,8,0,0,0,0,0,0,0,0,0,0,0,9,0,0,34,6,7,0,7,0,0,0
2015-10-01,6,0,8,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,6,0,0,6,0,0,0
2015-11-01,0,0,8,0,0,0,0,0,0,6,0,6,0,7,7,0,50,0,0,0,0,0,0,0,0
2015-12-01,7,0,6,0,0,0,0,91,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0
2016-01-01,0,0,9,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,7,0,0,0
2016-02-01,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,50
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,3,68,0,8,0,0,36,0,0,0,7,0,0,0
2016-04-01,0,0,6,0,55,0,0,97,0,0,0,0,0,8,5,0,55,0,0,0,0,0,0,0,0
2016-05-01,0,0,6,0,0,0,0,0,0,7,0,0,0,8,5,0,0,0,7,0,0,0,0,0,0
2016-06-01,0,0,12,0,0,0,0,0,0,0,0,3,0,8,5,0,0,0,0,0,0,8,0,0,100
2016-07-01,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,8,0,0,0
2016-08-01,0,0,14,0,0,0,100,0,97,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2016-09-01,8,0,7,65,0,0,0,0,0,0,72,4,0,0,12,0,0,0,0,0,0,0,0,84,0
2016-10-01,8,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,8,0,0,0
2016-11-01,8,68,7,0,0,0,0,0,0,0,0,4,0,0,12,0,0,0,0,9,0,8,0,0,0
2016-12-01,8,0,7,0,0,0,0,0,98,8,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0
2017-01-01,8,0,13,0,0,0,0,0,0,0,69,0,0,9,15,0,0,0,0,8,0,8,0,0,0
2017-02-01,0,0,21,0,0,0,0,0,0,0,0,0,0,0,9,0,0,44,8,0,77,0,0,0,0
2017-03-01,8,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,16,0,0,0
2017-04-01,8,0,13,0,0,0,0,0,0,0,0,4,0,0,11,0,0,41,0,0,0,8,0,0,0
2017-05-01,0,0,13,61,0,0,0,0,0,0,69,4,0,0,0,0,0,41,15,0,0,0,0,80,0
2017-06-01,0,0,7,66,0,0,0,0,0,0,75,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2017-07-01,0,0,8,0,0,0,0,0,0,0,0,0,100,0,7,0,0,0,9,0,0,10,0,100,0
2017-08-01,0,0,8,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,89,0,0,0,0
2017-09-01,0,0,8,0,0,0,0,0,0,0,0,0,0,11,27,0,0,0,0,0,0,0,0,0,0
2017-10-01,8,0,9,0,0,0,0,0,0,0,0,4,0,19,12,0,62,0,0,0,77,8,0,0,57
2017-11-01,6,0,11,51,0,0,0,0,0,0,85,3,0,0,15,60,0,0,6,0,0,7,0,67,0
2017-12-01,0,0,11,0,0,55,84,92,82,0,0,0,0,8,13,0,0,36,0,0,0,7,0,0,0
2018-01-01,6,0,8,0,0,48,73,0,0,0,52,0,0,0,11,0,0,0,0,0,0,6,0,0,0
2018-02-01,0,0,6,0,50,54,0,0,0,0,0,6,0,0,11,0,0,0,0,7,0,7,0,0,0
2018-03-01,0,0,7,0,0,0,0,0,0,5,0,3,0,0,11,0,0,0,6,0,0,0,0,59,0
2018-04-01,6,54,5,0,0,0,0,0,0,0,56,3,0,0,14,0,0,34,0,0,0,6,0,0,44
2018-05-01,6,0,12,0,0,0,0,0,0,0,0,3,0,7,9,0,0,100,6,0,0,7,0,0,0
2018-06-01,0,0,5,0,99,0,0,0,0,0,0,3,0,7,11,0,0,0,0,0,0,0,0,67,0
2018-07-01,6,0,7,0,0,52,0,0,0,6,57,3,66,7,9,0,0,34,0,0,0,20,0,0,0
2018-08-01,0,0,7,100,0,51,0,0,0,0,56,4,0,0,5,0,0,0,6,0,60,7,0,0,0
2018-09-01,0,0,16,0,0,0,0,0,0,6,57,3,0,0,6,0,0,0,0,0,61,0,0,0,0
2018-10-01,0,54,11,0,0,0,0,0,0,0,0,0,0,15,9,0,0,0,0,0,60,0,0,0,0
2018-11-01,12,0,8,0,0,0,0,83,0,0,0,0,0,0,15,0,0,0,6,0,57,6,0,63,43
2018-12-01,0,0,11,0,0,0,0,90,0,0,0,0,0,8,14,0,0,0,0,0,0,7,0,0,0
